"Plot";"Plot_abb";"Dendro_ID";"Dendro_active";"Position";"Tree_species";"Group";"Exposition";"Dbh";"Height";"Social_class";"Crown_width";"Year_CE";"Begin";"End";"Period";"Growth";"Product";"Const"
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb1";"Y";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;117;247,375;130,375;4,134;0,0317085330776606;2,33009708737864
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb2";"Y";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;124;250,385416666667;126,385416666667;3,06689999936;0,0242662490677129;3,07199370581936e-05
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb3";"Y";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;116;247,375;131,375;3,5081;0,0267029495718363;1,76055342062349
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb3_CD";"N";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb3_BD";"N";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb4";"N";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb5";"N";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb6";"Y";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb7";"Y";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
"Guenterstal_[450m_a.s.l.]";"GUE";"PcAb8";"Y";"dbh";"Picea_abies";"Mixed_stand";"W";NA;NA;NA;NA;1997;NA;NA;NA;NA;NA;NA
